steel_name,source,C,Cr,V,Mo,W,Co,N,Mn,Si,Nb,Ni,powder_metallurgy,total_carbide_formers,cr_to_c_ratio,is_stainless,total_alloy_content,pren,cvf,c_above_eutectoid,vc_fraction,matrix_cr,ms_temp,pm_x_cvf,pm_x_excess_c,catra_tcc_mm,catra_test_hrc,charpy_ftlbs
1.2442,reference-specs,1.15,0.7,0.1,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.0,0,0.1,0.609,0,2.55,0.7,15.846,0.38,0.195,0,266.09,0.0,0.0,330,62.5,
1.2519,reference-specs,1.05,1.0,0.0,0.0,1.0,0.0,0.0,0.35,0.25,0.0,0.0,0,1.0,0.952,0,3.65,2.65,14.535,0.28,0.0,0,262.46,0.0,0.0,320,62.2,
1.2562,reference-specs,1.0,1.05,0.0,0.0,0.6,0.0,0.0,1.1,0.25,0.0,0.0,0,0.6,1.05,0,4.0,2.04,13.797,0.23,0.0,0,239.06,0.0,0.0,348,65.4,
1.4116,reference-specs,0.5,14.5,0.15,0.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.75,29.0,1,17.75,16.48,9.868,0,0.292,12.5,117.15,0.0,0,,,
1084,reference-specs,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0,0.0,0.0,0,1.84,0.0,11.34,0.07,0.0,0,262.4,0.0,0.0,,,
1095,reference-specs,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0,0.0,0.0,0,1.6,0.0,12.825,0.18,0.0,0,273.04,0.0,0.0,316,61.8,
12C27,alleima,0.6,13.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0,0.0,22.5,1,14.9,13.5,10.53,0,0.0,11.1,109.69,0.0,0,,,
12C27M,alleima,0.52,14.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0,0.0,27.885,1,16.02,14.5,9.63,0,0.0,12.42,125.35,0.0,0,,,
13C26,alleima,0.68,13.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0,0.0,19.118,1,14.78,13.0,11.52,0,0.0,10.28,106.62,0.0,0,,,
14C28N,alleima,0.62,14.0,0.0,0.0,0.0,0.0,0.11,0.6,0.2,0.0,0.0,0,0.0,22.581,1,15.53,15.76,10.89,0,0.0,11.52,97.56,0.0,0,414,62,
154CM,crucible,1.05,14.0,0.0,4.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0,4.0,13.333,1,19.85,27.2,18.135,0.28,0.0,9.8,70.6,0.0,0.0,,,
19C27,alleima,0.95,13.5,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,0,0.0,14.211,1,15.55,13.5,15.255,0.18,0.0,9.7,100.57,0.0,0.0,,,
26C3,reference-specs,1.05,0.25,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.0,0,0.0,0.238,0,1.9,0.25,14.22,0.28,0.0,0,271.54,0.0,0.0,304,63,
3Cr13,missing-steels,0.3,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,43.333,1,15.365,13.0,6.39,0,0.0,11.8,224.4,0.0,0,,,
420,missing-steels,0.38,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,34.211,1,15.45,13.0,7.47,0,0.0,11.48,190.56,0.0,0,,,
420HC,reference-specs,0.44,13.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0,0.0,30.682,1,14.74,13.5,8.37,0,0.0,11.74,177.37,0.0,0,,,
440A,reference-specs,0.7,17.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.75,24.286,1,20.45,19.48,12.78,0,0.0,14.2,43.48,0.0,0,,,
440C,carpenter,1.075,17.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.75,15.814,1,20.825,19.48,17.842,0.305,0.0,12.7,43.48,0.0,0.0,455,62.8,
5160,missing-steels,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.85,0.25,0.0,0.0,0,0.0,1.333,0,2.575,0.8,8.244,0,0.0,0,249.68,0.0,0,,,
52100,reference-specs,1.0,1.45,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.0,0,0.0,1.45,0,3.05,1.45,13.761,0.23,0.0,0,257.02,0.0,0.0,328,60.5,
7Cr17,missing-steels,0.7,17.0,0.1,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.6,24.286,1,20.3,18.65,12.885,0,0.195,14.2,45.35,0.0,0,,,
80CrV2,reference-specs,0.8,0.5,0.15,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0,0.15,0.625,0,2.15,0.5,11.183,0.03,0.292,0,266.99,0.0,0.0,,,
8670,reference-specs,0.7,0.5,0.0,0.25,0.0,0.0,0.0,0.85,0.25,0.0,0.55,0,0.25,0.714,0,3.1,1.32,9.63,0,0.0,0,241.7,0.0,0,271,59.2,
8Cr13MoV,missing-steels,0.8,13.0,0.1,0.15,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0,0.25,16.25,1,14.95,13.49,13.389,0.03,0.195,9.8,114.62,0.0,0.0,,,
9Cr18Mo,missing-steels,0.95,18.0,0.0,0.6,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0,0.6,18.947,1,21.215,19.98,16.281,0.18,0.0,14.2,38.58,0.0,0.0,,,
A2,reference-specs,1.0,5.25,0.25,1.1,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0,1.35,5.25,0,8.7,8.88,15.329,0.23,0.487,1.25,189.11,0.0,0.0,339,61.5,
A8 mod,reference-specs,0.55,5.0,0.3,1.25,1.25,0.0,0.0,0.3,0.3,0.0,0.0,0,2.8,9.091,0,8.95,11.19,9.585,0,0.585,2.8,227.36,0.0,0,351,60.6,
AEB-L,reference-specs,0.67,13.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0,0.0,19.403,1,14.67,13.0,11.385,0,0.0,10.32,109.66,0.0,0,360,61.1,
AUS-10,hitachi-proterial,1.05,14.0,0.2,0.3,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.5,13.333,1,17.05,14.99,17.193,0.28,0.39,9.8,98.35,0.0,0.0,,,
AUS-6,hitachi-proterial,0.65,14.0,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.15,21.538,1,16.8,14.0,11.588,0,0.292,11.4,85.4,0.0,0,,,
AUS-8,hitachi-proterial,0.75,14.0,0.2,0.3,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.5,18.667,1,16.75,14.99,13.143,0,0.39,11.0,98.35,0.0,0,,,
ApexUltra,reference-specs,1.2,14.5,1.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0,2.0,12.083,1,18.5,17.8,21.12,0.43,1.95,9.7,90.09,0.0,0.0,,,
Arne,bohler-pocket-book,0.95,0.6,0.0,0.1,0.55,0.0,0.0,1.1,0.3,0.0,0.0,0,0.65,0.632,0,3.6,1.84,13.068,0.18,0.0,0,243.75,0.0,0.0,,,
Blue #1,hitachi-proterial,1.3,0.35,0.0,0.0,1.5,0.0,0.0,0.25,0.15,0.0,0.0,0,1.5,0.269,0,3.55,2.82,17.883,0.53,0.0,0,273.37,0.0,0.0,,,
Blue #2,hitachi-proterial,1.1,0.25,0.0,0.0,1.0,0.0,0.0,0.25,0.15,0.0,0.0,0,1.0,0.227,0,2.75,1.9,15.075,0.33,0.0,0,274.58,0.0,0.0,,,
Blue Super,hitachi-proterial,1.4,0.4,0.5,0.4,2.0,0.0,0.0,0.25,0.15,0.0,0.0,0,2.9,0.286,0,5.1,5.02,20.451,0.63,0.975,0,269.76,0.0,0.0,338,65.1,
Bure,bohler-pocket-book,0.39,5.3,0.9,1.3,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0,2.2,13.59,0,9.29,9.59,8.442,0,1.755,3.74,287.99,0.0,0,,,
CPM 10V,crucible,2.45,5.25,9.75,1.3,0.0,0.0,0.0,0.5,0.9,0.0,0.0,1,11.05,2.143,0,20.15,9.54,53.501,1.68,19.012,0,196.73,53.501,1.68,718,59.9,26
CPM 154,crucible,1.05,14.0,0.0,4.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,1,4.0,13.333,1,19.85,27.2,18.135,0.28,0.0,9.8,70.6,18.135,0.28,492,61,
CPM 15V,crucible,3.4,5.25,14.5,1.3,0.0,0.0,0.0,0.5,0.9,0.0,0.0,1,15.8,1.544,0,25.85,9.54,75.588,2.63,28.275,0,196.73,75.588,2.63,879,63,14
CPM 1V,crucible,0.55,4.5,1.0,2.75,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1,5.75,8.182,0,12.3,16.88,11.535,0,1.95,2.3,216.08,11.535,0,,,115
CPM 20CV,crucible,1.9,20.0,4.0,1.0,0.6,0.0,0.0,0.3,0.7,0.0,0.0,1,5.6,10.526,1,28.5,24.29,37.518,1.13,7.8,12.4,26.58,37.518,1.13,,,
CPM 3V,crucible,0.8,7.5,2.75,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.05,9.375,0,12.35,11.79,17.98,0.03,5.362,4.3,184.7,17.98,0.03,463,60.1,85
CPM 4V,crucible,1.35,5.0,3.85,2.95,0.0,0.0,0.0,0.4,0.8,0.0,0.0,1,6.8,3.704,0,14.35,14.73,27.695,0.58,7.508,0,190.42,27.695,0.58,526,60.7,55
CPM 9V,crucible,1.78,5.25,9.0,1.3,0.0,0.0,0.0,0.5,0.9,0.0,0.0,1,10.3,2.949,0,18.73,9.54,42.993,1.01,17.55,0,196.73,42.993,1.01,,,47
CPM CruWear,reference-specs,1.1,7.5,2.4,1.6,1.15,0.0,0.0,0.5,0.5,0.0,0.0,0,5.15,6.818,0,14.75,14.68,21.663,0.33,4.68,3.1,167.25,0.0,0.0,528,62.1,
CPM D2,crucible,1.55,11.5,0.9,0.8,0.0,0.0,0.0,0.4,0.4,0.0,0.0,1,1.7,7.419,0,15.55,14.14,25.038,0.78,1.755,5.3,127.89,25.038,0.78,,,
CPM M4,crucible,1.42,4.0,4.0,5.25,5.5,0.0,0.0,0.3,0.25,0.0,0.0,1,14.75,2.817,0,20.78,30.4,30.57,0.65,7.8,0,188.31,30.57,0.65,570,61.1,32
CPM MagnaCut,crucible,1.15,10.7,4.0,2.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,1,8.0,9.304,0,20.05,20.5,29.571,0.38,7.8,10.7,140.73,29.571,0.38,,,38
CPM Rex 121,crucible,3.4,4.0,9.5,5.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1,24.5,1.176,0,40.93,37.0,68.745,2.63,18.525,0,199.3,68.745,2.63,1009,71.4,
CPM Rex 45,crucible,1.3,4.0,3.0,5.0,6.25,8.0,0.0,0.0,0.0,0.0,0.0,1,14.25,3.077,0,27.55,30.81,27.045,0.53,5.85,0,199.3,27.045,0.53,,,
CPM Rex 76,crucible,1.5,3.75,3.1,5.25,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1,18.35,2.5,0,32.6,37.57,30.66,0.73,6.045,0,200.45,30.66,0.73,,,
CPM S110V,crucible,2.8,15.25,9.0,2.5,0.0,2.5,0.0,0.3,0.4,3.0,0.0,1,14.5,5.446,1,35.75,23.5,64.395,2.03,17.55,13.65,72.81,64.395,2.03,738,61.9,
CPM S125V,crucible,3.3,14.0,12.0,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,14.5,4.242,1,32.3,22.25,71.37,2.53,23.4,0.8,97.05,71.37,2.53,828,62.3,
CPM S30V,crucible,1.45,14.0,4.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,6.0,9.655,1,22.45,20.6,30.615,0.68,7.8,8.2,85.6,30.615,0.68,596,61.9,10.0
CPM S35VN,crucible,1.4,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,5.5,10.0,1,20.9,20.6,28.89,0.63,5.85,10.0,100.8,28.89,0.63,520,61.2,12.0
CPM S45VN,crucible,1.48,14.0,3.0,2.0,0.0,0.0,0.15,0.0,0.0,0.5,0.0,1,5.5,9.459,1,21.13,23.0,29.97,0.71,5.85,9.68,100.8,29.97,0.71,554,60.5,11.0
CPM S60V,reference-specs,2.15,17.0,5.5,0.4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,5.9,7.907,1,26.05,18.32,42.954,1.38,10.725,8.4,61.3,0.0,0.0,658,61.7,
CPM S90V,crucible,2.3,14.0,9.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,10.0,6.087,1,27.3,17.3,51.48,1.53,17.55,4.8,93.1,51.48,1.53,779,61.6,5.0
CPM SPY27,missing-steels,1.35,14.5,2.0,2.0,0.0,5.5,0.04,0.3,0.3,0.08,0.0,1,4.08,10.741,1,26.07,21.74,25.599,0.58,3.9,9.356,85.63,25.599,0.58,,,
CTS-204P,carpenter,1.9,20.0,4.0,1.0,0.65,0.0,0.0,0.35,0.6,0.0,0.0,1,5.65,10.526,1,28.5,24.37,37.527,1.13,7.8,12.4,25.06,37.527,1.13,,,
CTS-BD1,carpenter,0.9,16.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.5,17.778,1,19.4,17.65,15.21,0.13,0.0,12.4,57.45,0.0,0.0,,,
CTS-BD1N,carpenter,0.9,16.0,0.0,0.5,0.0,0.0,0.125,1.0,1.0,0.0,0.0,0,0.5,17.778,1,19.525,19.65,15.21,0.13,0.0,12.4,57.45,0.0,0.0,404,60.6,
CTS-XHP,carpenter,1.6,16.0,0.45,0.8,0.0,0.0,0.0,0.5,0.4,0.0,0.0,1,1.25,10.0,1,19.75,18.64,25.646,0.83,0.877,9.6,70.4,25.646,0.83,,,
Caldie,bohler-uddeholm,0.7,5.0,0.5,2.3,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0,2.8,7.143,0,9.2,12.59,12.153,0,0.975,2.2,192.25,0.0,0,314,60.6,
Calmax,bohler-pocket-book,0.6,4.5,0.2,0.5,0.0,0.0,0.0,0.8,0.35,0.0,0.0,0,0.7,7.5,0,6.95,6.15,9.48,0,0.39,2.1,202.68,0.0,0,,,
